City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Nelson Bay,AU,2021-09-11 01:33:47,-32.7167,152.15,79.29,62,0,5.61
158,Solvychegodsk,RU,2021-09-11 01:33:48,61.3305,46.9156,33.12,96,20,4.12
159,Weyburn,CA,2021-09-11 01:31:39,49.6668,-103.8511,66.18,45,55,9.22
160,Sawakin,SD,2021-09-11 01:33:48,19.1059,37.3321,89.83,44,87,2.75
161,Deoband,IN,2021-09-11 01:33:49,29.7,77.6833,78.78,77,100,5.32
162,Chinhoyi,ZW,2021-09-11 01:33:49,-17.3667,30.2,55.38,70,0,8.95
163,Mabaruma,GY,2021-09-11 01:33:49,8.2,-59.7833,74.89,93,75,3.09
164,Manzil Salim,TN,2021-09-11 01:33:49,35.8567,8.4765,68.0,57,0,6.33
165,San Jose,US,2021-09-11 01:30:16,37.3394,-121.895,82.9,57,20,3.0
166,Ostersund,SE,2021-09-11 01:31:19,63.1792,14.6357,52.25,100,90,0.0
167,Dali,CN,2021-09-11 01:33:50,25.7,100.1833,68.76,74,43,1.66
168,Cacoal,BR,2021-09-11 01:33:50,-11.4386,-61.4472,78.49,67,63,1.9
169,Bereda,ES,2021-09-11 01:33:51,43.2686,-7.5406,57.58,100,43,0.58
170,Raga,SS,2021-09-11 01:33:51,8.4596,25.678,68.56,96,82,0.29
171,Narsaq,GL,2021-09-11 01:33:51,60.9167,-46.05,43.02,92,100,1.79
172,Avera,US,2021-09-11 01:33:52,33.194,-82.5271,71.11,51,0,5.55
173,Elizabeth City,US,2021-09-11 01:33:52,36.2946,-76.2511,72.01,86,1,3.44
174,Port Hardy,CA,2021-09-11 01:33:53,50.6996,-127.4199,57.38,100,90,2.3
175,Raudeberg,NO,2021-09-11 01:33:53,61.9875,5.1352,56.07,97,100,14.07
176,Lanja,IN,2021-09-11 01:33:53,16.85,73.55,74.73,96,99,2.71
177,Kasempa,ZM,2021-09-11 01:33:54,-13.4584,25.8338,60.82,64,0,9.51
178,Taloqan,AF,2021-09-11 01:33:54,36.7361,69.5345,67.12,29,0,3.18
179,Petropavlovsk-Kamchatskiy,RU,2021-09-11 01:33:54,53.0452,158.6483,50.59,40,20,13.42
180,Chicama,PE,2021-09-11 01:33:55,-7.8447,-79.1469,59.54,84,45,4.72
181,Zeya,RU,2021-09-11 01:33:55,53.75,127.2667,53.92,91,100,2.75
182,Geraldton,AU,2021-09-11 01:33:55,-28.7667,114.6,61.21,77,63,9.22
183,San Bartolome De Tirajana,ES,2021-09-11 01:33:56,27.9248,-15.5733,63.07,83,20,14.97
184,Mahebourg,MU,2021-09-11 01:33:56,-20.4081,57.7,70.09,83,40,9.22
185,Natal,BR,2021-09-11 01:32:08,-5.795,-35.2094,77.65,83,0,9.22
186,Oussouye,SN,2021-09-11 01:33:57,12.485,-16.5469,74.07,94,100,9.17
187,Norman Wells,CA,2021-09-11 01:33:57,65.282,-126.8329,59.04,55,75,18.41
188,Iroquois Falls,CA,2021-09-11 01:33:57,48.7669,-80.6831,53.74,80,100,4.09
189,Kuruman,ZA,2021-09-11 01:33:58,-27.4524,23.4325,61.0,50,2,13.49
190,Deputatskiy,RU,2021-09-11 01:33:58,69.3,139.9,44.19,45,39,2.71
191,Vanimo,PG,2021-09-11 01:33:58,-2.6741,141.3028,86.22,64,12,8.5
192,Hualmay,PE,2021-09-11 01:33:59,-11.0964,-77.6139,61.79,87,48,6.33
193,Huarmey,PE,2021-09-11 01:33:59,-10.0681,-78.1522,62.78,87,78,5.79
194,Kaman,IN,2021-09-11 01:33:59,27.65,77.2667,80.91,79,94,10.6
195,Buchanan,LR,2021-09-11 01:34:00,5.8808,-10.0467,74.93,89,60,2.35
196,Nuuk,GL,2021-09-11 01:34:00,64.1835,-51.7216,41.61,56,23,6.91
197,Yemtsa,RU,2021-09-11 01:34:00,63.0734,40.3329,42.1,83,100,6.11
198,Pacific Grove,US,2021-09-11 01:32:59,36.6177,-121.9166,81.0,89,75,7.0
199,Ulaangom,MN,2021-09-11 01:34:01,49.9811,92.0667,56.07,46,3,1.16
200,Bougouni,ML,2021-09-11 01:34:01,11.417,-7.479,71.53,91,69,4.5
201,Basco,PH,2021-09-11 01:34:02,20.4487,121.9702,80.73,94,100,42.73
202,Bethel,US,2021-09-11 01:34:02,41.3712,-73.414,66.92,82,1,0.0
203,Ribeira Grande,PT,2021-09-11 01:34:02,38.5167,-28.7,70.56,75,52,21.21
204,Chuy,UY,2021-09-11 01:34:03,-33.6971,-53.4616,53.85,95,68,7.92
205,Namibe,AO,2021-09-11 01:34:03,-15.1961,12.1522,66.13,74,52,5.86
206,Avondale,US,2021-09-11 01:30:17,33.4356,-112.3496,106.34,21,40,5.75
207,Yarada,IN,2021-09-11 01:34:03,17.65,83.2667,81.23,78,100,3.89
208,Sao Filipe,CV,2021-09-11 01:34:04,14.8961,-24.4956,78.46,79,94,3.8
209,Khasan,RU,2021-09-11 01:34:04,42.4308,130.6434,71.53,63,75,6.04
210,Yumen,CN,2021-09-11 01:34:04,40.2833,97.2,74.05,14,30,15.61
211,Saryagash,KZ,2021-09-11 01:34:05,41.4511,69.1701,58.96,26,0,2.19
212,Kirovskiy,RU,2021-09-11 01:34:05,45.0917,133.5136,69.94,65,1,4.97
213,Xining,CN,2021-09-11 01:34:05,36.6167,101.7667,64.09,41,6,2.06
214,Bejar,ES,2021-09-11 01:34:06,40.3864,-5.7634,61.57,63,100,2.44
215,Atar,MR,2021-09-11 01:34:06,20.5169,-13.0499,94.71,33,100,11.01
216,Milos,GR,2021-09-11 01:34:06,36.75,24.4333,70.52,66,0,10.96
217,Port Lincoln,AU,2021-09-11 01:30:25,-34.7333,135.8667,62.42,64,51,18.03
218,Sandwick,GB,2021-09-11 01:34:07,60.0,-1.25,55.22,100,90,13.8
219,Chumikan,RU,2021-09-11 01:34:07,54.7183,135.315,55.04,70,100,12.21
220,Faanui,PF,2021-09-11 01:34:08,-16.4833,-151.75,77.34,64,19,9.91
221,Sitka,US,2021-09-11 01:34:08,57.0531,-135.33,58.89,67,90,14.97
222,Isangel,VU,2021-09-11 01:34:09,-19.55,169.2667,77.11,53,20,13.8
223,Jiuquan,CN,2021-09-11 01:34:09,39.7432,98.5174,75.16,16,6,2.06
224,Port Elizabeth,ZA,2021-09-11 01:34:09,-33.918,25.5701,55.69,88,0,5.75
225,Esperance,AU,2021-09-11 01:34:09,-33.8667,121.9,57.04,66,100,17.63
226,Tabuk,PH,2021-09-11 01:34:10,17.4189,121.4443,75.94,96,100,6.4
227,Saldanha,ZA,2021-09-11 01:34:10,-33.0117,17.9442,46.45,93,100,8.59
228,Victoria,HK,2021-09-11 01:33:44,22.2855,114.1577,88.97,73,99,3.74
229,Lasa,IT,2021-09-11 01:34:11,46.6166,10.7002,58.46,90,70,1.79
230,Brae,GB,2021-09-11 01:34:11,60.3964,-1.353,55.31,98,100,12.33
231,Coihaique,CL,2021-09-11 01:34:11,-45.5752,-72.0662,42.75,87,75,6.91
232,Honiara,SB,2021-09-11 01:34:12,-9.4333,159.95,86.07,68,18,10.0
233,Cidreira,BR,2021-09-11 01:34:12,-30.1811,-50.2056,61.29,69,98,11.21
234,Margate,GB,2021-09-11 01:34:13,51.3813,1.3862,64.26,97,32,12.46
235,Okhotsk,RU,2021-09-11 01:34:13,59.3833,143.3,56.8,49,8,6.91
236,Road Town,VG,2021-09-11 01:34:13,18.4167,-64.6167,84.2,76,5,18.03
237,Mount Gambier,AU,2021-09-11 01:34:14,-37.8333,140.7667,57.11,77,90,18.41
238,Olafsvik,IS,2021-09-11 01:34:14,64.8945,-23.7142,48.11,85,100,3.18
239,Urumqi,CN,2021-09-11 01:34:02,43.801,87.6005,58.15,77,20,4.47
240,Zaozerne,UA,2021-09-11 01:34:14,45.1582,33.2787,60.94,70,100,11.1
241,Palmer,US,2021-09-11 01:34:15,42.1584,-72.3287,61.29,76,20,8.05
242,Kayerkan,RU,2021-09-11 01:34:15,69.3497,87.7602,40.48,93,100,15.08
243,Owando,CG,2021-09-11 01:34:15,-0.4819,15.8999,69.8,98,100,2.08
244,Moree,AU,2021-09-11 01:34:16,-29.4667,149.85,73.42,38,0,10.36
245,Kaitangata,NZ,2021-09-11 01:34:16,-46.2817,169.8464,48.16,83,97,9.26
246,Kulhudhuffushi,MV,2021-09-11 01:34:17,6.6221,73.07,82.13,70,92,11.21
247,Lavrentiya,RU,2021-09-11 01:34:17,65.5833,-171.0,43.84,94,100,7.43
248,Qom,IR,2021-09-11 01:34:17,34.6401,50.8764,73.83,29,0,3.0
249,Laguna,US,2021-09-11 01:34:18,38.421,-121.4238,89.74,39,1,5.01
250,San Patricio,US,2021-09-11 01:34:18,28.017,-97.5169,85.86,55,0,14.29
251,Alofi,NU,2021-09-11 01:34:18,-19.0595,-169.9187,80.49,78,100,11.5
252,Lisala,CD,2021-09-11 01:34:19,2.15,21.5167,68.54,96,29,1.45
253,Alvaraes,BR,2021-09-11 01:34:19,-3.2208,-64.8042,73.85,96,100,1.95
254,Ayagoz,KZ,2021-09-11 01:34:19,47.9714,80.4392,53.62,30,100,12.66
255,Touros,BR,2021-09-11 01:34:20,-5.1989,-35.4608,77.9,76,6,16.17
256,El Campo,US,2021-09-11 01:34:20,29.1966,-96.2697,81.9,57,1,4.61
257,Maun,BW,2021-09-11 01:34:20,-19.9833,23.4167,64.36,59,0,10.36
258,Kahului,US,2021-09-11 01:33:00,20.8947,-156.47,84.22,60,40,17.27
259,Katobu,ID,2021-09-11 01:34:21,-4.9408,122.5276,79.45,89,100,6.96
260,Farmington,US,2021-09-11 01:34:21,36.7281,-108.2187,92.08,18,1,4.61
261,Pontianak,ID,2021-09-11 01:34:21,-0.0333,109.3333,75.18,100,40,4.61
262,Troitsko-Pechorsk,RU,2021-09-11 01:34:22,62.7084,56.1964,38.25,83,99,8.99
263,Sorland,NO,2021-09-11 01:34:22,67.667,12.6934,48.85,71,4,14.94
264,Kushima,JP,2021-09-11 01:34:22,31.4583,131.2333,83.71,58,17,4.68
